구분,유저,챗봇
,임신이 잘 안되는데 어떻게 해야하나요,"정상적인 부부관계(배란 시기를 예상하여 잠자리를 1년 이상 정상적으로 하였을 경우)를 하였어도 임신이 안 될 경우, 불임에 대한 검사를 해 보시는 것이 좋습니다. 불임의 원인은 자궁경관 점액상태, 항정자증, 나팔관 통기검사(HSG : 나팔관이 정상적으로 잘 뚫려있는지 알아보는 검사), 또한 남편의 정액검사 및 그 외 필요한 기본적인 혈액검사 등이 있습니다. 그리고 특히 여성의 나이가 많을수록 보다 빨리 위의 검사들을 하여 이상이 없는 경우, 배란 유도 등을 시행하여 임신을 시도하는 것이 좋습니다. 불임 전문 병원으로 가셔서 불임에 대한 상담을 해 보시는 것이 좋을 듯합니다."
,배란통이 심합니다. ,"배란통은 모든 사람에게, 또 같은 사람이라도 모든 배란일에 발생하는 것은 아닙니다. 또한 그 양상도 다양할 수 있습니다. 
그러므로 이러한 통증이 배란통인지 아닌지는 단순하게 그 증상만을 가지고 판단할 수는 없습니다. 귀하의 경우와 같이 평상시와 다르게 느껴졌다면 산부인과적인 문제가 있을 수도 있습니다. 반드시 병원에 방문하여 보시기 바랍니다."
,나팔관이 없으면 정말 임신을 할 수 없나요,"나팔관은 자궁의 양측에 있으며 양측 모두 수술을 해서 제거하거나 
막힌 경우 자연 임신은 어렵습니다. 그러나 양측 나팔관이 없어도 난소와 자궁이 정상이라면 시험관아기 시술이 가능합니다."
,재왕절개후 자궁유착은 아이에게 나쁜 영향을 줄 수 있나요,"자궁유착이란, 개복 수술을 많이 하면 할수록, 자궁과 복막이 붙는 것을 말하는 것으로, 이는 수술(개복)을 많이 하면 할수록 더 심하게 올 수 있는 경우를 말합니다. 자궁 유착이 있는 경우, 제왕절개수술시 유착을 제거한 후에 자궁을 열고 아이를 분만하는데 걸리는 시간이 그 만큼 길어지게 됩니다. 이런 경우, 아이가 분만하기 전 마취에 노출되는 시간이 길어지므로, 분만시 아이가 어느 정도 마취약에 노출될 수밖에 없고, 태어나자마자 아이가 잘 울지 않을 수도 있으며, 아이의 상태를 나타내는 Apgar score라는 점수가 낮아 질 수 있습니다. 그렇지만 아이에게 커다란 문제가 생기는 것은 아닙니다. 유착이 매우 심해 분만시 시간이 많이 걸리면, 태어나서 아이가 잘 울지 않을 경우가 있고, 이런 경우 태아에게 기관지에 삽관 할 수도 있습니다. 그러므로 제왕절개수술을 많이 하면 할수록 유착이 심해지고, 또한 유착을 박리할 경우 유착이 없는 경우보다 출혈도 더 있을 수 있습니다. 그렇지만 이로 인해 손발절임 등이 올 수 있는 직접적인 원인이라고는 볼 수 없습니다. 유착이 심한 경우라고 임신 중 아이에게 문제가 있지는 않습니다. 또한 유착이 심해 나팔관의 폐색을 동반한 경우에는 임신율이 떨어질 수도 있습니다."
,다낭성인데 빨리 임신이 되었으면 합니다. ,배란 유도제로 배란이 된다면 임신 가능성이 있으므로 꾸준히 치료를 받으시기 바랍니다. 배란이 되어도 한 주기에 임신율은 15%정도 입니다. 한두 달 내에 임신을 하기도 하지만 좀 더 오래 기다리는 사람들도 있습니다. 난포는 하루에 1~2mm정도 자라며 개인 차이가 있지만 대개 20mm 전후 크기에서 배란이 됩니다. 정자가 여성의 생식기 안에서 3일 정도 생존하므로 배란 전에 2일에 한번 정도 관계하면 임신이 될 수 있는 것입니다. 난포가 1.8cm라면 배란기라고 생각할 수 있습니다. 하루빨리 좋은 소식 있으시기 바랍니다.
,갑상선 치료중 임신이 되어 걱정입니다. ,"갑상선 질환이 있어도 약으로 잘 조절 되고 있으면 임신 하시는데 
상관없습니다. 물론 임신 중에도 잘 조절하시면 됩니다. 증상이 심하거나 염증이 심하면 치료 후에 임신을 하셔도 되고 특별한 이상이 없으면 치료 없이 임신 하셔도 됩니다. 담당 주치의와 잘 상의하셔서 치료 방침을 정하시면 됩니다. 임신 중에는 일반적으로 갑상선 호르몬(씬지로이드)의 요구량이 50~100% 증가 한다는 것에 유념 하십시오."
,임신 중 배 뭉침이 심합니다. ,"자궁 경부 길이가 짧아졌다는 것은 조기 진통이 진행 중 일수가 있다는 것입니다. 
조기 진통이란, 규칙적인 자궁 수축(배뭉침)으로 적어도 7~8분에 한 번씩 있다는 것이고, 얼마큼 짧아져야 위험하다는 것 보다는 규칙적인 조기 진통(적어도 7~8분에 한 번씩) 유무 또는 강도가 점점 강해지는가 하는 것이 중요합니다. 그러므로 조기 진통이 있다고 판단되어 질 경우에는 조기 진통이 규칙적인 진통으로 진행되어 결국 분만으로 연결될 수 있으므로(아직은 태아 체중이 분만하기에는 위험함), 우선 절대 안정을 취하고, 그래도 안 될 경우에는 자궁 수축 억제제를 투여하여 조금 더 시간을 끄는 것이 좋을 듯합니다. 
결론적으로 배뭉침이 자주 있을 경우 산부인과를 방문하여 태아 안녕검사를 통해 진통시간 및 간격, 규칙성 등을 체크해보시는 것이 좋을 것 같습니다."
,제왕절개 수술후 둘째는 자연분만이 가능한가요,"과거에는 한번 제왕절개수술하면 그 다음에는 반드시 제왕절개수술을 반복하는 것이 원칙이었습니다만, 근래에는 이와 같은 경우에도 제왕절개수술 후 질식 정상분만(브이백, VBAC, Vaginal Birth After Cesarean section)이 가능합니다. 브이백의 위험성은 분만 과정 중에 자궁의 파열, 태아 긴박증 등이 있을 수 있기 때문에 대상 산모를 잘 선별하여 실시하여야 합니다. 협골반, 현재 임신된 아기가 거대아, 태아의 위치 이상, 자궁절개 부위의 연장 및 감염증, 전번 수술 시에 합병증의 발생, 전번 수술과의 터울이 짧은 경우(18개월 미만), 전번 수술에서 자궁의 종절개 등인 경우에는 브이백을 실시 할 수 없습니다. 중요한 것은 자궁 파열의 전구 증상의 출현, 태아 긴박증과 같은 응급상황을 조기에 발견하고 응급 제왕절개수술을 실시 할 수 있는 시설과 산부인과의사, 마취과 의사, 간호사가 있는 병원에서 브이백을 실시하는 것이 가장 바람직합니다."
,임신중인데 다리 통증이 심히요,"다리가 아프신 것은 특별히 임신과 관련된 증상은 아닙니다. 
물론 피곤하고 혈액 순환이 안 되어서 부종이나 근육 경련이 잘 일어날 수 있으나 정확한 진단을 위해서는 진찰을 해봐야 알 수 있습니다. 다니시던 산부인과 병원에 가셔서 먼저 진찰을 받아보시길 바랍니다."
,임신이 되면서 불면증으로 고생입니다. ,"불면증 때문에 고생이 많으시군요. 임신 중에 불면증은 산모님처럼 밤에 화장실을 많이 가게 되고 또한 호르몬 변화로 발생할 수 있습니다. 
보통 분만 후에는 좋아집니다. 지금 너무 힘들어서 고생이지요? 그러나 임신 중에는 수면제 등의 약물 복용은 권장할 수가 없고 결국 임신 중 호르몬 변화 및 불편감으로 생긴 것이기 때문에 근본적인 치료는 어렵습니다. 수면을 이루기 위한 여러 대증 요법 등을 이용하시거나 실패한 경우에 전문의와 상의 후에 임신 중에 사용 가능 약물을 사용 하시는 것도 고려 해 볼 수 있습니다."
,임신 초기 속쓰림이 심합니다. ,"임신 6주에 속쓰림으로 고생을 하시고 계시는군요. 임신초기에 입덧으로 무척 고생을 하시는 분들도 있으며, 입덧과는 별도로 위염, 역류성 식도염, 위궤양 등의 위장질환도 임신 중에 발병 할 수 있습니다. 그러므로 우선 산부인과에서 진찰을 받으시고, 동시에 내과에서 진찰을 받으시고 식이요법과 태아에게 해가 없는 약물로 치료를 해 보거나 필요시에는 위 내시경도 하실 수가 있습니다."
,임신 중인데 소변에서 피가 섞여서 나옵니다. ,"임신 중에 혈뇨가 보이면 혈뇨가 임신 자체와 연관된 것보다는 신장(콩팥), 요로, 방광, 요도 등의 병변을 생각해 보아야 합니다. 
혈뇨가 복부통증을 동반하였다면 신장(콩팥), 요로, 방광의 요석증도 의심해 보아야 합니다. 간혹 채뇨과정 중에 질분비물이 소변과 섞여서 마치 혈뇨가 보이는 것으로 오진하기도 합니다. 
임신부는 반드시 첫소변과 끝소변을 제외한 중간뇨를 받아가지고 재검사를 할 필요가 있습니다. 만일 혈뇨가 보인다면 혈뇨의 정도가 어느 정도인지, 복부 및 옆구리 통증을 동반하는지, 열이 있는지, 이들 증상이 점점 심해지는 지를 관찰하고 전문의 진료를 받아 보아야 합니다."
,태아가 거꾸로 있는데 어떻게 해야할까요,"둔위 임신은 임신중기에는 현재 일시적인 현상일 수 있습니다. 그러나 출산예정일이 가까워 졌는데도 계속 그렇다면 수술을 준비하면서 기다려야 합니다. 수술전날에 확인했을 때도 가끔 돌아오는 경우가 있거든요. 가벼운 활동이 조금 도움이 되겠지만 특정 운동이 어떤 효험이 있다는 보고는 아직 없습니다. 
담당선생님이랑 진료를 하면서 태아 위치를 확인하도록 하세요."
,아내가 입덧이 심한데 어떻게 해야할까요,"입덧에 좋은 음식은 정해지지 않았습니다. 
산모 본인이 맞는 음식을 드셔야겠지요. 입덧은 임신 자체의 호르몬 변화 때문에 생긴 것이기 때문에 입덧을 덜 수 있는 특별한 방법은 없습니다. 임신 10주 정도가 가장 심할 때이고 그 후 감소되어 16주 정도면 사라집니다. 많이 심하셔서 음식을 전혀 못 드시면 병원에서 영양제 투여 받고 경우에 따라서 구토억제제 투여를 받으셔야 합니다. 또 시중에 나와 있는 릴리프 밴드라는 구토 억제 효과가 있는 팔찌를 구입하셔서 착용하시면 도움이 되실 수 도 있습니다만 아직 확실한 근거는 없습니다. 그러나 근본적으로 임신으로 인한 오심 구토는 해결책이 없습니다. 자궁 안에 애기가 건강히 있는 것으로 위안을 삼고 시간이 지나기를 기다리는 것이 가장 최선입니다."
,풍진예방주사후 임신이 되어 걱정입니다. ,"현재 풍진주사 후 3개월간은 피임할 것을 권하고 있습니다. 
그럼 그 3개월 사이에 임신한 경우가 문제가 될 수 있겠는데요, 지금까지 보고된 바에 의하면 풍진 주사 후 태아에게 직접 감염을 일으킨 예는 없었습니다. 그러나 그 안전성이 아직 확보되지 않은 상태입니다. 
따라서 임신을 계속 유지하기를 원하신다면 임신 중기에 제대 천자검사와 정밀 초음파를 통해 태아의 감염 여부를 확인해 볼 수도 있겠습니다."
,임신중인데 아이들이 수두에 걸렸어요,"현재 22주면 만일 수두에 감염되었을 경우라도, 태아 기형을 유발하지는 않으며 또한 치료적 유산을 권하지는 않으나, 임신 중 감기 등 바이러스 질환에 노출 되었을 경우(2차 감염 등에 노출될 경우) 치료를 요할 경우가 있으므로, 가능하다면 조심하실 필요가 있습니다. 그리고 어렸을 때 감염된 것은 현재 아무 문제없는 것으로 보이므로 걱정하시지 않아도 좋을 듯합니다."
,이슬이 비쳤는데 진통이 없어요,"이슬은 진통의 전조증상 중 하나이긴 하지만, 이슬이 비췄다고 해서 반드시 바로 진통이 오는 것만은 아닙니다. 
일부 산모의 경우 이슬이 비춘 이후로 꽤 오랜 동안 진통이 없는 경우도 있습니다. 그러나 생리처럼 피가 많이 나왔다면 병원에 가셔서 자궁 경부가 얼마나 열렸는지, 태반이나 태아의 상태는 괜찮은지 확인을 하시는 것이 좋겠습니다."
,임신중에 칼슘 섭취를 위해 우유를 얼마나 마셔야하나요,"임신 중 약 30g의 칼슘이 체내에 저장되며 그 중 대부분은 태아에게 필요합니다. 이 정도의 칼슘은 모체가 가지고 있는 전체 칼슘량의 2.5%에 불과하며, 대부분은 모체의 뼈에 저장되어 있으므로 태아성장에 즉시 이용될 수 있습니다. 따라서 임신 중이라고 해서 칼슘필요량이 더 증가하는 것은 아닙니다. 칼슘요구량은 임신 전이나 임신 시 그리고 수유 시에도 1,200mg으로 동일합니다. 칼슘섭취량과 태아 허벅지 길이는 관계없습니다."
,임신중 선천성 매독은 어떻게 해야하나요,"매독 반응 검사에는 두 가지가 있습니다. 매독균에 대한 비특이 항체를 사용하는 검사(소위 VDRL검사)와 매독균에 대한 특이 항체를 사용하는 정밀 검사가 있습니다. 일반적으로 임신 중에 시행하는 VDRL검사는 선별검사로서 가짜 양성 반응(위양성)이 나타나는 결점을 가지고 있습니다. 그러므로 VDRL검사 양성 반응이면 정밀검사로서 매독균에 대한 특이 항체를 사용하는 검사를 받도록 하십시오. 드물지만 매독 치료 후에 완치에도 불구하고 VDRL검사가 양성 반응이 약하지만 지속적으로 나타날 수도 있습니다. 
기간을 두고 검사하여 VDRL검사의 양성 반응이 기간이 경과하면서 강한 양성 반응에서 약한 양성반응으로 변화하면 성공적인 치료의 효과로 볼 수 있습니다. 태아의 매독의 선천성 감염여부는 임신 16주에서 20주 사이에 양수를 채취하여 양수 내의 매독균의 존재를 분자 생물학적 방법으로 검사하는 방법도 있습니다. 매독 감염 또는 치료 후의 산모에서 모유 수유가 금기의 사항은 아닙니다."
,임신 주수가 궁금해요,"임신주수는 마지막 생리 시작일 부터 계산합니다. 
2월 9일 생리를 시작하였다면 3월 19일은 2월 9일 부터 약 5주가 되는 날입니다. 따라서 임신 5주가 되는 것이지요. 그러나 생리가 불규칙하여 배란일이 2월 23일경보다 늦어진다면 임신주수는 그보다 적어질 수 있습니다. 이런 경우는 보통 초음파를 보면서 임신주수를 결정하게 되는데 한번의 초음파소견으로 정확한 임신주수를 알기는 어렵습니다. 
임신초기에는 가끔 배가 아픈 경우가 있습니다. 배가 아픈 경우 이것이 정상의 소견인지 또는 유산의 소견인지 알기는 매우 어렵습니다. 만일 유산의 위험이 있다고 진단을 받으셨다면 임신 초기에는 안정을 취하는 것이 좋습니다. 다니시는 산부인과 선생님의 의견을 따르시면 도움이 될 것입니다."
,임신중인데 냉에 냄새가 나고 노랗게 나옵니다. ,"냉이 냄새가 나고 노랗게 나온다구요? 임신 중에는 자궁경부의 분비물이 증가하여 정상적으로도 팬티에 냉이 묻어 나오는 경우가 
많습니다. 그러나 냉이 노랗거나 흰 비지 같고, 냄새가 나거나 가려운 경우에는 정상적인 냉이 아닐 수도 있습니다. 특히 곰팡이성 질염인 경우가 많습니다. 정상적인 냉이 아니라면 임신 초기라도 치료가 가능합니다. 
우선 아래쪽을 미지근한 물로 잘 씻어보세요. 그리고 진료 받으시는 산부인과에 가셔서 냉의 종류를 확인하시고 비정상적인 냉이라면 질정 등으로 치료하실 수 있습니다."
,임신 29주인데 피가 나왔습니다. ,출혈이 되는 원인은 여러 가지 있을 수 있으나 29주는 조기 진통이 자주 일어나는 시기이므로 가급적 빨리 병원을 내원하여 체크해 보시는 것이 나을 듯합니다.
,성병이 태아에 미치는 영향이 궁금합니다. ,Chlamydia와 gardnerella는 태아에게 기형이나 특별한 이상을 일으키지 않는 것으로 보고되고 있습니다. 다만 임신 중에 gardnerella에 감염되면 조산의 위험성이 조금 높아지는 것으로 되어 있습니다. 시험관 아기 시술 전에 감염 여부에 대한 검사를 일반적으로 시행하기 때문에 걱정하지 않으셔도 될 것입니다. 치료 받지 않은 Chlamydia감염증은 출산 후 신생아 폐렴을 일으킬 수 도 있습니다.
,임신중인데 소변에서 당이 나와요,"임신 중에는 정상적으로도 소변으로 약간의 당이 나올 수 있습니다. 
소변스틱으로 검사하는 것은 아주 정확하지는 않으며, 결과는 음성, +1, +2, +3, +4로 구분을 하는데 정상인데도 +1로 나오는 경우가 있습니다. 
소변스틱이 +2 이상으로 나오면 혈당 검사를 다시 시행해야 하지만, 얼마 전에 시행한 혈당 검사가 정상이므로 전혀 걱정하실 필요가 없을 것 같습니다."
,임신중 우유와 달갈섭취가 태아에 알레르기를 유발하나요,"우유와 달걀이 태아의 알레르기와 관련이 있다는 증거는 없습니다. 
현재처럼 드셔도 문제는 없으며, 보통의 식사를 잘 하시면 임신 중에 필요한 칼슘섭취를 충분히 하기 때문에 신경 쓰지 않으셔도 됩니다."
,자궁에 밴드가 있다는데 왜그런건가요,"제가 직접 검사를 한 것이 아니라 위의 내용만으로는 정확한 답변을 드리기 힘듭니다만, 밴드가 자궁 안에 있는 경우는 임신 중 크게 문제되지 않으나 아기집 안에 밴드가 있는 경우는 문제를 일으킬 수도 있으니 자세히 검사를 해보시는 것이 좋습니다. 주치의 선생님께서 자궁 안에 밴드가 있고 크게 걱정하지 않으셔도 된다고 하셨다면 너무 우려하지 않으셔도 될 것 같습니다. 밴드는 자궁 내 염증이나 여러 가지 경우에 생길 수 있으며, 자궁 내 이전에 상처가 난 자리가 아물면서 밴드를 형성할 수도 있습니다."
,임신 중 질세정제에 대해 알고싶어요,"질염이 없는 건강한 여성에게 질세정이 반드시 필요한 것은 아닙니다. 
임신 중 질염은 매우 흔하게 발생하는 일이며 치료에 대부분 반응이 좋으나 재발을 하기도 합니다. 출산 후에는 오히려 좋아지는 분들도 많습니다. 임신 중 면역력 약화가 임신 중 질염, 방광염 등 각종 감염의 위험이 증가하는 것과 관계가 있다고 합니다. 질염도 원인균에 따라 치료가 달라질 수 있으므로 구체적인 치료는 병원진료를 하시기 바랍니다."
,임신중에 양초공예가 해로운가요,"임신 중에 피부가 양초(paraffin)에 과도하게 노출되거나, 양초 연기에 호흡기가 과도하게 노출되었을 때, 태아에 어떤 위험성이 있는지에 대하여 염려하고 계신 것 같습니다. 아직 paraffin이 태아에 어떤 최기성(기형 유발성)내지 독성을 유발하였다는 뚜렷한 결과 보고는 없습니다. 단지 양초 연기에 산모 호흡기가 과도하게 노출되었을 때 산모의 호흡기 염증을 유발할 수 있으므로 과도한 노출을 피하거나, 보호 장구의 착용을 권장합니다. 또한 모유수유와 양초 공예의 병행도 유해하지 않은 것으로 사료됩니다."
,정밀 초음파 검사를 꼭 받아야 하나요?,"정밀 초음파는 아기의 장기들 뇌, 심장, 복부, 얼굴, 척추, 사지 등 전반적인 것을 자세히 관찰하는 초음파입니다. 시간이 많이 걸리고 숙련된 검사자가 필요하기 때문에 보통은 임신 기간 중 1번, 임신 18~20주 정도에 고위험 산모에서는 필요에 따라 1회 이상 검사를 합니다. 일반적인 초음파 검사 때는 아기 크기 양수양 정도만 검사하게 되고 장기들을 검사하지는 않기 때문에 아기의 기형 여부를 알기 위해서는 정밀 초음파 검사를 받아 보시는 것이 좋습니다. 정밀 초음파로도 70%의 기형밖에 알 수는 없지만 기형 여부를 확인하기 위해서 보통은 검사를 받습니다."
,"임신 마지막 달, 치질 때문에 힘들어요","임신과 출산 후에 치질로 고생하시는 분들이 많습니다. 우선 미지근한 물에 푹 담그고 앉아서 좌욕을 하면서 항문 괄약근을 오물오물 운동을 하여 혈액순환을 좋게 하면서 밖으로 나온 치질을 항문 안으로 밀어 넣어 혈액순환이 되도록 하는 것이 좋습니다. 물론 밀어올리기가 쉽지가 않은 경우가 있는데, 심한 경우에는 치질전문 일반외과에 가셔서 진찰과 치료를 받으면 훨씬 좋아집니다. 좌욕하는 물의 온도는 태아에게 영향이 없고, 임신 마지막 달이라고 하시니 필요시에 태아에게 해가 없는 약물들도 사용할 수 있습니다."
,출산 후 자궁수축이 되지 않아 출혈이 계속됩니다. ,"분만 후 자궁 수축이 나빠서 출혈이 되는 경우가 가끔 있습니다. 
고통스럽고 힘드시겠지만 이 시기가 지나면, 즉 시간이 지날수록 또 출혈이 있을 가능성이 급격히 줄어든답니다. 그러니 맘 편히 가지시고 아기와 편히 지내세요. 젖은 못 먹이게 되었으면 분유 먹이시면 되지요. 우선 잘 먹고 잠 편히 주무시고 좀 회복되면 아기도 돌보고 하시지요. 그 정도 했으면 대개는 별일이 없을 겁니다. 앞으로 한 10일간은 되도록 편히 계세요. 철분제 열심히 드시고요."
,출산 후 질이 건조해서 부부관계가 힘들어요,"분만 후 회음절개 부위의 상처가 회복이 덜 된 것은 아닌지요. 
수유 중에는 폐경기처럼 분비물이 줄고 질 벽이 건조해져서 아플 수 있습니다. 젖을 떼게 되면 저절로 돌아오므로 걱정하실 필요 없습니다. 아기를 데리고 자야하므로 긴장이 풀리지 않아 그럴 수도 있습니다. 남편도 알게 모르게 서두르게 될 수 있고요. 분위기를 바꿔보시는 것도 좋겠지요."
,출산 후 체중은 언제쯤 빠지나요,"출산 후 5개월이 지났으면 원래 증가하였던 체중은 거의 다시 빠져서 임신 전의 체중으로 돌아가는 것이 보통입니다. 
혹시 임신 초기에 체중이 어느 정도 감소하였다가 다시 증가하기 시작한건 아닌가요? 제 생각에는 혈압이 정상이고 다른 신체기능(간이나 신장, 심장)에 이상이 없다면 먹는 양이 많고 운동량이 부족해서 생긴 결과인 것으로 판단됩니다."
,모유수유중인데 생리가 불규칙합니다. ,"적은 양이지만 모유수유 중이므로 생리를 하지 않을 것입니다. 
모유수유 중에는 대개 생리를 안 하지만 불규칙적으로 할 수도 있습니다. 물론 배란이 일어나서 임신을 하는 경우도 있고요. 따라서 수유 중에는 임신이 거의 안 되지만 간혹 임신이 되는 경우도 있으므로 임신을 원하지 않는 경우에는 선생님과 상의하셔서 피임을 하셔야 합니다."
,출산 후 골반이 많이 불편합니다. ,"임신 중에는 체중의 중심이 앞으로 이동하여 허리에 많은 부담을 줍니다. 또한 임신, 분만의 경우 우리 몸의 인대가 늘어나는 변화가 있습니다. 우리 선조들이 출산 후 몸조리를 충분히 하라고 하는 것도 이러한 이유에서 입니다. 간혹 그 정도가 심하여 골반 앞쪽이 벌어지는 경우도 있으니 불편한 정도가 심하시면 정형외과의 진료를 받아보시기 바랍니다."
,"피부과 연고를 발랐는데, 모유수유에는 영향이 없나요",데타손 연고는 임신 중 사용에 대해 안정성이 아직 확립되지 않은 약입니다. 모유수유 시에도 모유를 통해 약성분이 아기에게 넘어갈 수 있으므로 꼭 필요한 경우가 아니면 사용을 자제하시는 것이 좋을 것 같습니다. 혹시 모유수유 시 사용 가능한 연고를 처방할 수도 있으니 피부과 진료를 한번 보시는 것이 좋겠습니다. 또한 화폐성 피부염은 모유를 통해 아기에게 전파되지는 않는 것으로 알려져 있으니 너무 걱정하지 않으셔도 될 것 같습니다.
,"어루러기가 생겼는데, 모유수유에는 영향이 없나요","표재성 피부 곰팡이증은 피부의 가장 바깥층인 각질층이나 손발톱, 머리카락에 진균이 감염되어 발생하는 질환입니다. 일단은 피부의 정도와 증상을 보지 않고는 진단하거나 치료하는 것이 어려우므로 진료를 받으신 후에 피부과나 산부인과 선생님과 치료의 유무를 수유에 맞추어서 하시면 될 것으로 생각됩니다. 또한 심하지 않은 정도의 바르는 연고는 수유에는 지장이 없는 경우가 많으므로 검진을 받아보세요."
,출산 후 오로는 언제 쯤 멈추나요,"오로는 출산 후 자궁내막과 질에서의 분비물과 탈락막, 점액 등이 섞여서 나오는 것으로 일반적으로는 4~6주경에는 멈추는 것으로 되어있습니다. 그러나 개인에 따라 차이가 있으며 귀하와 같이 백색에 냄새와 증상이 없는 경우에는 크게 걱정하지 않으셔도 될 것 같습니다."
,젖을 끊으려면 어떻게 해야하나요,"젖의 양이 많으시면 자연적으로 끊기는 쉽지 않으므로 일단은 유축기를 사용하다가 저절로 조금씩 주는 방법이 좋지만, 이 방법이 잘 안 되시면 약을 약 7~14일 복용하여야 하는데 이는 두통으로 힘드실 수 있으므로 일단은 산부인과 선생님과 의논하여 보십시오."
,관절등 지쳐있는 신체 회복을 위한 산후는 무엇이 좋을까요,"보통 분만 후 4주에서 6주까지를 산욕기라고 하는데, 그 이유는 자궁과 다른 신체 기관이 약 6주정도가 되어야 임신 전 상태로 회복되기 때문입니다. 이 시기에는 특히 무리하게 관절을 쓰거나 너무 무리하지 않으시는 것이 좋기 때문에 남편이나 가족들의 도움을 받는 것도 좋습니다. 또한 모유수유를 하는 동안에는 약을 처방받는 것에 대해 주의하셔야 합니다. 일단은 칼슘과 무기질이 많은 음식으로 신체를 회복하도록 노력해 보시고 약에 의존하는 것은 가급적 피하시는 것이 좋겠습니다."
,모유수유중 유두 상처는 아기에게 괜찮을까요,"직접 관찰하고 답변을 하는 것이 아니라 염증인지 아닌지 알 수는 없습니다만 모유수유를 하다보면 유두부분에 상처가 생기고 심하면 피가 나거나 고름이 잡히기도 합니다. 이런 경우라도 모유를 먹이는 것은 상관없습니다. 그러나 통증이 있으면 먹이기가 어렵지요. 통증이 있고, 상처가 아물지 않으면 일단 그쪽 유두로는 상처가 좋아질 때까지 젖을 물리지 않는 것이 좋겠습니다. 
만일 다른 한쪽의 젖만으로는 양이 부족하다면 상처가 있는 쪽에 인공젖꼭지를 사용하거나, 유축기를 이용하여 짜서 아기에게 먹이는 방법도 있습니다."
,분만 예정일이 지나면 유도분만을 해야하나요,"둘째 아이인 경우에는 첫째 보다는 아이가 많이 크지 않은 경우, (터울이 10년 이내인 경우) 더 쉽게 순산할 수 있습니다. 그리고 과거에는 (의사선생님의 주관에 따라) 예정일보다 2주 정도까지 기다려 보기도 하였으나, 1주일 정도만 기다린 후 유도 분만하기도 합니다. 
다만, 양수의 양과 아이의 상태(초음파 및 태반검사를 기준으로)에 따라, 그리고 태아의 체중에 따라, 별다른 문제가 없다면 예정일 전에도 유도 분만 할 수 있으나, 예정일이 정확하다면 그리고 태아 체중이 적당하다면 1주일 이상 기다릴 필요는 없습니다. 
이런 경우 만일 2주일 이상 더 기다릴 경우 오히려 진통(양수가 적은 경우) 중 태아 상태가 좋지 않을 수 있어 수술할 경우도 종종 발생할 수도 있습니다. 유도분만이라고 하여 문제가 되는 것은 아니므로, 담당 선생님의 판단에 맡기시어 분만 시기를 잡는 것이 좋을 듯합니다."
,임신 중 요통을 완화시킬 수 있는 방법을 알려주세요,"바로 눕게 되면 자궁이 대정맥을 누르게 되어 혈액순환의 장애가 일어나므로 임신 중 오랫동안 바로 눕는 것은 권장하지 않습니다. 그러나 잠깐씩은 괜찮습니다. 임신 중 허리의 통증은 몸의 중심이 불러진 배로 인하여 앞으로 이동하여 과도하게 요추가 앞으로 휘게 되어 발생합니다. 
이를 돕기 위해서는 임신부 복대나 거들을 사용하여 배를 받쳐주게 하면 도움이 되기도 합니다. 또한 오랫동안 서있는 경우에는 발 받침대 위에 한쪽 발을 올려놓으면 골반을 앞쪽으로 기울게 하면 장요근(iliopsoas)이 이완되며, 요추와 척추의 근육 긴장도를 감소시키게 되어 요통에 도움을 주며, 옆으로 누울 때는 엉덩이와 등의 긴장을 완화시키기 위해서 다리를 약간 구부리고, 다리 사이와 복부 아래에 작은 베개를 놓으면 통증 감소에 도움이 됩니다. 
침대에서 일어날 때는 복직근의 긴장과 분리의 원인이 되므로 갑작스럽게 똑바로 일어나는 행위(jack-knifing)는 피하고, 신발의 굽이 높으면 몸이 뒤로 기울게 되어 척추의 만곡이 증가될 수 있으므로 굽이 낮고 평편한 신발을 신으면 통증을 완화시킬 수 있습니다. 
요통과 골반통 완화에 도움이 되는 운동은 골반 경사 운동(pelvic tilting)으로 벽에 기대고 서서 하는 자세, 바닥에 등을 대고 누워서 하는 자세, 바닥에 손을 대고 무릎을 구부리고 등을 반듯하게 하는 자세(일명 고양이 체조) 등 다양한 자세가 있습니다. 이 운동은 요추만곡을 감소시키며 골반의 위치를 조절하는 데 중요한 역할을 하는 복부 근육의 적절한 탄력성과 근육의 강도를 유지하고 태아와 골반 장기를 적절히 지지할 수 있도록 도와줍니다."
,고령임신인 경우에 양수검사를 해야하나요,"산모의 연령이 많아질수록 염색체 이상 태아를 임신할 확률이 올라갑니다. 그래서 고령임신인 경우에는 염색체 분석을 할 것을 권하게 됩니다. 고령임신의 기준은 만 35세로 잡고 있는데요. 그 이유는 35세 이후에는 염색체 이상 태아를 임신할 확률이 양수검사의 위험성보다 높아지기 때문에 35세 이후에는 양수검사를 할 것을 권하고 있습니다. 
참고로 만 37세 때 염색체 이상 태아를 임신할 확률은 1,000명당 12명 정도 됩니다. 다만 염색체 이상 태아의 임신인 것이 진단 된 경우에도 치료법이 없기 때문에 이 검사를 받을 지 안 받을 지는 산모님과 남편분이 결정을 하셔야 됩니다. 양수검사의 임신 합병증으로는 조기진통, 조기양막파수, 태아 감염, 태반 출혈, 태아 사망 등이 가능하지만 가능성은 1% 미만으로 높지 않습니다."
